Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)
uscellular home internet 5g plan	USD	500	5%	20%	High	80	2.70	8.10
uscellular home internet for gaming latency	USD	500	0%	5%	Medium	68	2.20	6.60
uscellular home internet for streaming	USD	500	0%	5%	Medium	68	2.20	6.60
uscellular home internet device cost	USD	500	0%	8%	High	77	2.40	7.20
uscellular home internet equipment fee	USD	500	0%	5%	Medium	62	1.90	5.70
uscellular home internet unlimited data plans	USD	500	0%	8%	High	78	2.50	7.50
uscellular home internet deals near me	USD	500	0%	8%	High	80	2.80	8.40
uscellular home internet coverage check	USD	500	0%	5%	High	76	2.25	6.75
uscellular business internet pricing	USD	500	0%	5%	High	80	3.80	11.40
uscellular home internet customer reviews	USD	500	0%	5%	Medium	63	1.85	5.55
uscellular home internet outage map	USD	500	0%	5%	Low	16	0.42	1.26
uscellular home internet for rural areas	USD	500	0%	5%	High	80	2.90	8.70
uscellular vs tmobile home internet	USD	500	0%	5%	High	79	2.70	8.10
uscellular 5g home internet review	USD	500	5%	20%	Medium	70	2.30	6.90
uscellular home internet vs cable	USD	500	0%	5%	High	78	2.65	7.95
uscellular home internet data cap	USD	500	0%	5%	Medium	68	2.20	6.60
